Course_ID,Course_Type,Course_Code,Course_Title
MBA,THEORY,23MBA2CC8,OPERATIONS RESEARCH
MBA,THEORY,23MBA2CC9,HUMAN RESOURCE MANAGEMENT
MBA,THEORY,23MBA2CC10,FINANCIAL MANAGEMENT
MBA,THEORY,23MBA2CC11,MARKETING MANAGEMENT
MBA,THEORY,23MBA2CC12,OPERATIONS MANAGEMENT
MBA,THEORY,23MBA2CC13,BUSINESS RESEARCH METHODS
MCA,THEORY,23MCA2CC8,DATA STRUCTURES AND ALGORITHMS
MCA,THEORY,23MCA2CC9,R PROGRAMMING WITH STATISTICS
MCA,THEORY,23MCA2CC10,OPERATING SYSTEMS
MCA,THEORY,23MCA2DE1A,COMPUTER NETWORKS
MCA,THEORY,23MCA2DE1B,NETWORK SECURITY AND CRYPTOGRAPHY
MCA,THEORY,23MCA2DE1C,MOBILE APPLICATION DEVELOPMENT
MCA,THEORY,23MCA2DE2A,DATA SCIENCE
MCA,THEORY,23MCA2DE2B,BIG DATA ANALYTICS
MCA,THEORY,23MCA2DE2C,"MICROPROCESSORS, INTERFACING AND APPLICATIONS"
MCA,PRACTICAL,23MCA2CC11P,DATA STRUCTURES LAB - PRACTICAL
MCA,PRACTICAL,23MCA2CC12P,R PROGRAMMING LAB - PRACTICAL
PAR,THEORY,23PAR2CC5,HADEETH LITERATURE
PAR,THEORY,23PAR2CC6,CLASSICAL POETRY
PAR,THEORY,23PAR2CC7,ISLAMIC PHILOSOPHY
PAR,THEORY,23PAR2CC8,HISTORY OF MODERN ARABIC LITERATURE
PAR,THEORY,23PAR2DE2A,TRANSLATION SKILLS & ESSAYS IN ARABIC
PAR,THEORY,23PAR2DE2B,SHIRU’S SAHABA
PBO,THEORY,23PBO2CC5,CELL AND MOLECULAR BIOLOGY
PBO,THEORY,23PBO2CC6,"ANATOMY, EMBRYOLOGY AND FORENSIC BOTANY"
PBO,THEORY,23PBO2CC7,GENETICS AND PLANT BREEDING
PBO,PRACTICAL,23PBO2CC8P,"LABORATORY COURSE FOR CORE V, VI AND VII - PRACTICAL"
PBO,THEORY,23PBO2DE2A,FLORICULTURE FOR ENTREPRENEURSHIP AND EXPORT
PBO,THEORY,23PBO2DE2B,HORTICULTURE AND GREENHOUSE TECHNOLOGY
PBT,THEORY,23PBT2CC5,ENZYME TECHNOLOGY
PBT,THEORY,23PBT2CC6,MOLECULAR BIOLOGY
PBT,THEORY,23PBT2CC7,RECOMBINANT DNA TECHNOLOGY
PBT,PRACTICAL,23PBT2CC8P,"ENZYME TECHNOLOGY, MOLECULAR BIOLOGY, RECOMBINANT
DNA TECHNOLOGY - PRACTICAL"
PBT,THEORY,23PBT2DE2A,GENOMICS AND PROTEOMICS
PBT,THEORY,23PBT2DE2B,"PHARMACOGNOSY, PHARMACOLOGY AND NANOMEDICINE"
PCH,THEORY,23PCH2CC5,"STEREOCHEMISTRY, ORGANIC REACTIONS AND STEROIDS"
PCH,THEORY,23PCH2CC6,GROUP THEORY AND SPECTROSCOPY
PCH,PRACTICAL,23PCH2CC7P,INORGANIC QUALITATIVE ANALYSIS AND COLORIMETRIC ESTIMATIONS - PRACTICAL
PCH,PRACTICAL,23PCH2CC8P,QUALITATIVE ANALYSIS OF ORGANIC MIXTURE AND CHROMATOGRAPHY TECHNIQUES - PRACTICAL
PCH,THEORY,23PCH2DE2A,ORGANOMETALLICS AND INORGANIC SPECTROSCOPY
PCH,THEORY,23PCH2DE2B,CHEMISTRY OF INORGANIC COMPLEXES
PCO,THEORY,23PCO2CC5,ADVANCED INCOME TAX
PCO,THEORY,23PCO2CC6,INTERNATIONAL BUSINESS
PCO,THEORY,23PCO2CC7,OPERATION RESEARCH
PCO,THEORY,23PCO2CC8,RESEARCH METHODOLOGY
PCO,THEORY,23PCO2DE2A,INDUSTRIAL PSYCHOLOGY
PCO,THEORY,23PCO2DE2B,CONSUMER BEHAVIOUR
PCS,THEORY,23PCS2CC5,DATABASE SYSTEMS
PCS,THEORY,23PCS2CC6,PYTHON FOR DATA SCIENCE
PCS,THEORY,23PCS2CC7,DESIGN AND ANALYSIS OF ALGORITHMS
PCS,PRACTICAL,23PCS2CC8P1,RDBMS LAB - PRACTICAL
PCS,PRACTICAL,23PCS2CC8P2,DATA SCIENCE LAB - PRACTICAL
PCS,THEORY,23PCS2DE2A,CLOUD COMPUTING
PCS,THEORY,23PCS2DE2B,DISTRIBUTED OPERATING SYSTEM
PEC,THEORY,23PEC2CC5,ADVANCED MICRO ECONOMIC ANALYSIS - II
PEC,THEORY,23PEC2CC6,MONETARY ECONOMICS
PEC,THEORY,23PEC2CC7,INTERNATIONAL ECONOMICS
PEC,THEORY,23PEC2CC8,EVOLUTION OF ECONOMIC THOUGHT
PEC,THEORY,23PEC2DE2A,STATISTICAL METHODS FOR ECONOMIC ANALYSIS
PEC,THEORY,23PEC2DE2B,AGRICULTURAL ECONOMICS
PEN,THEORY,23PEN2CC5,BRITISH LITERATURE - III
PEN,THEORY,23PEN2CC6,BRITISH LITERATURE - IV
PEN,THEORY,23PEN2CC7,"HISTORY OF ENGLISH LANGUAGE AND STRUCTURE
OF MODERN ENGLISH"
PEN,THEORY,23PEN2CC8,INDIAN WRITING IN ENGLISH
PEN,THEORY,23PEN2DE2A,ADVANCED COMMUNICATION SKILLS
PEN,THEORY,23PEN2DE2B,CREATIVE WRITING
PFT,THEORY,23PFT2CC5,RESEARCH METHODOLOGY AND STATISTICS
PFT,THEORY,23PFT2CC6,ADVANCED TECHNICAL TEXTILES
PFT,PRACTICAL,23PFT2CC7P,COMPUTER AIDED DESIGN - PRACTICAL I
PFT,PRACTICAL,23PFT2CC8P,DESIGN WITH PRINTS - PRACTICAL
PFT,THEORY,23PFT2DE2A,DIGITAL MARKETING
PFT,THEORY,23PFT2DE2B,ENTREPRENEURSHIP DEVELOPMENT
PHS,THEORY,23PHS2CC5,MEDIEVAL INDIAN HISTORY AND CULTURE
PHS,THEORY,23PHS2CC6,TAMIL SOCIETY AND CULTURE - II
PHS,THEORY,23PHS2CC7,ARAB SOCIETY AND CULTURE - II
PHS,THEORY,23PHS2CC8,HISTORY OF TIRUCHIRAPPALLI THROUGH THE AGES
PHS,THEORY,23PHS2DE2A,INDIAN CONSTITUTION
PHS,THEORY,23PHS2DE2B,HISTORY OF SCIENCE AND TECHNOLOGY
PIT,THEORY,23PIT2CC5,JAVA PROGRAMMING
PIT,THEORY,23PIT2CC6,MOBILE COMMUNICATION
PIT,THEORY,23PIT2CC7,DATA SCIENCE AND R PROGRAMMING
PIT,PRACTICAL,23PIT2CC8P1,JAVA PROGRAMMING LAB - PRACTICAL
PIT,PRACTICAL,23PIT2CC8P2,R PROGRAMMING LAB - PRACTICAL
PIT,THEORY,23PIT2DE2A,SEMANTIC WEB
PIT,THEORY,23PIT2DE2B,CRYPTOGRAPHY AND NETWORK SECURITY
PMA,THEORY,23PMA2CC5,ALGEBRA - II
PMA,THEORY,23PMA2CC6,COMPLEX ANALYSIS
PMA,THEORY,23PMA2CC7,TOPOLOGY
PMA,THEORY,23PMA2CC8,NUMERICAL ANALYSIS WITH OCTAVE
PMA,THEORY,23PMA2DE2A,THEORY OF FUZZY SETS & ITS APPLICATIONS
PMA,THEORY,23PMA2DE2B,MATHEMATICAL MODELLING
PMB,THEORY,23PMB2CC5,MOLECULAR BIOLOGY AND GENETICS
PMB,THEORY,23PMB2CC6,GENETIC ENGINEERING
PMB,THEORY,23PMB2CC7,ENVIRONMENTAL AND AGRICULTURAL MICROBIOLOGY
PMB,PRACTICAL,23PMB2CC8P,"MOLECULAR BIOLOGY AND GENETICS, GENETIC 
ENGINEERING , ENVIRONMENTAL AND AGRICULTURAL MICROBIOLOGY - PRACTICAL"
PMB,THEORY,23PMB2DE2A,MICROBIAL ECOLOGY
PMB,THEORY,23PMB2DE2B,BIOREMEDIATION AND BIODEGRADATION
PND,THEORY,23PND2CC5,NUTRITION IN LIFE SPAN
PND,THEORY,23PND2CC6,MICRO NUTRIENTS
PND,THEORY,23PND2CC7,THERAPEUTIC NUTRITION - II
PND,PRACTICAL,23PND2CC8P,THERAPEUTIC NUTRITION - PRACTICAL
PND,INTERNSHIP,23PND2CC8I,INTERNSHIP
PND,THEORY,23PND2DE2A,CLINICAL BIOCHEMISTRY
PND,THEORY,23PND2DE2B,NUTRITION DURING EMERGENCY
PPH,THEORY,23PPH2CC5,ADVANCED MATHEMATICAL PHYSICS
PPH,THEORY,23PPH2CC6,MOLECULAR SPECTROSCOPY
PPH,THEORY,23PPH2CC7,ELECTROMAGNETIC THEORY
PPH,PRACTICAL,23PPH2CC8P1,CONDENSED MATTER PHYSICS - PRACTICAL
PPH,PRACTICAL,23PPH2CC8P2,ANALOG ELECTRONICS - PRACTICAL
PPH,THEORY,23PPH2DE2A,COMPUTATIONS IN PHYSICS USING PYTHON
PPH,THEORY,23PPH2DE2B,NANOSCIENCE AND TECHNOLOGY
PSW,PRACTICAL,23PSW2CC6P,MANAGEMENT OF SOCIAL ORGANISATION - PRACTICAL
PSW,THEORY,23PSW2CC6T,MANAGEMENT OF SOCIAL ORGANISATION - THEORY
PSW,THEORY,23PSW2CC7,RESEARCH METHODS IN SOCIAL WORK
PSW,THEORY,23PSW2CC8,HUMAN GROWTH AND PERSONALITY DEVELOPMENT
PSW,THEORY,23PSW2CC9,COUNSELLING IN SOCIAL WORK: THEORY AND PRACTICE
PTA,THEORY,23PTA2CC5,THOLKAPPIYAM - ELUTHTHATHIKARAM (SENAVARAIYAM)
PTA,THEORY,23PTA2CC6,IDAIKALA ILAKKIYAM
PTA,THEORY,23PTA2CC7,OPPILAKKIYAMUM MOZHIPEYARPPIYALUM
PTA,THEORY,23PTA2CC8,ISLAMIYATH TAMIL ILAKKIYAM
PTA,THEORY,23PTA2DE2A,PALANTHTAMILAR ARIVUTHTHURAIGAL
PTA,THEORY,23PTA2DE2B,AGARATHIYALUM KALAICHCHOLLAAKKAMUM
PZO,THEORY,23PZO2CC5,MOLECULAR AND HUMAN GENETICS
PZO,THEORY,23PZO2CC6,CELL & MOLECULAR BIOLOGY AND HISTOLOGY
PZO,THEORY,23PZO2CC7,COMPARATIVE ANIMAL PHYSIOLOGY
PZO,PRACTICAL,23PZO2CC8P,"MOLECULAR AND HUMAN GENETICS, CELL &
MOLECULAR BIOLOGY, HISTOLOGY AND COMPARATIVE ANIMAL PHYSIOLOGY - PRACTICAL - II"
PZO,THEORY,23PZO2DE2A,BIOTECHNOLOGY
PZO,THEORY,23PZO2DE2B,ENDOCRINOLOGY
UAM,THEORY,23U2LA2,GRAMMAR & TRANSLATION
UAM,THEORY,23U2LF2,GENERAL LANGUAGE FRENCH - II
UAM,THEORY,23U2LH2,"SAMANYA HINDI - II, NOVEL AND GRAMMAR - II"
UAM,THEORY,23U2LT2,TAMIL ILAKKIYA VARALAARU - II
UAM,THEORY,23U2LU2,NAZM AUR GHAZAL
UAM,THEORY,23UCN2LE2,ENGLISH FOR COMMUNICATION - II
UAM,THEORY,23UAM2CC3,MARKETING MANAGEMENT
UAM,THEORY,23UAM2CC4,AVIATION SECURITY AND SAFETY MANAGEMENT
UAM,THEORY,23UAM2AC3,MATHS & STATISTICS FOR MANAGERS
UAM,PRACTICAL,23UAM2AC4P,INFORMATION TECHNOLOGY FOR BUSINESS - PRACTICAL
UAR,THEORY,23U2LA2,GRAMMAR & TRANSLATION
UAR,THEORY,23U2LF2,GENERAL LANGUAGE FRENCH - II
UAR,THEORY,23U2LH2,"SAMANYA HINDI - II, NOVEL AND GRAMMAR - II"
UAR,THEORY,23U2LT2,TAMIL ILAKKIYA VARALAARU - II
UAR,THEORY,23U2LU2,NAZM AUR GHAZAL
UAR,THEORY,23UCN2LE2,ENGLISH FOR COMMUNICATION - II
UAR,THEORY,23UAR2CC3,GRAMMAR - II
UAR,PRACTICAL,23UAR2CC4P,ARABIC COMMUNICATION SKILLS - PRACTICAL
UAR,THEORY,23UAR2AC3,ARABIC MORPHOLOGY - II
UAR,THEORY,23UAR2AC4,SEERATHUL ANBIYAA - II
UBA,THEORY,23U2LA2,GRAMMAR & TRANSLATION
UBA,THEORY,23U2LF2,GENERAL LANGUAGE FRENCH - II
UBA,THEORY,23U2LH2,"SAMANYA HINDI - II, NOVEL AND GRAMMAR - II"
UBA,THEORY,23U2LT2,TAMIL ILAKKIYA VARALAARU - II
UBA,THEORY,23U2LU2,NAZM AUR GHAZAL
UBA,THEORY,23UCN2LE2,ENGLISH FOR COMMUNICATION - II
UBA,THEORY,23UBA2CC3,MODERN MARKETING
UBA,THEORY,23UBA2CC4,BUSINESS ENVIRONMENT AND ETHICS
UBA,THEORY,23UBA2AC3,BUSINESS MATHEMATICS & STATISTICS
UBA,PRACTICAL,23UBA2AC4P,"INFORMATION TECHNOLOGY FOR BUSINESS -
PRACTICAL"
UBO,THEORY,23U2LA2,GRAMMAR & TRANSLATION
UBO,THEORY,23U2LF2,GENERAL LANGUAGE FRENCH - II
UBO,THEORY,23U2LH2,"SAMANYA HINDI - II, NOVEL AND GRAMMAR - II"
UBO,THEORY,23U2LT2,TAMIL ILAKKIYA VARALAARU - II
UBO,THEORY,23U2LU2,NAZM AUR GHAZAL
UBO,THEORY,23UCN2LE2,ENGLISH FOR COMMUNICATION - II
UBO,THEORY,23UBO2CC3,PLANT ANATOMY AND EMBRYOLOGY
UBO,PRACTICAL,23UBO2CC4P,LABORATORY COURSE FOR CORE - III - PRACTICAL
UBO,THEORY,23UCH2AC3:2,"INORGANIC, ORGANIC AND PHYSICAL CHEMISTRY - II"
UBO,PRACTICAL,23UCH2AC4P,ORGANIC ANALYSIS - PRACTICAL
UBT,THEORY,23U2LA2,GRAMMAR & TRANSLATION
UBT,THEORY,23U2LF2,GENERAL LANGUAGE FRENCH - II
UBT,THEORY,23U2LH2,"SAMANYA HINDI - II, NOVEL AND GRAMMAR - II"
UBT,THEORY,23U2LT2,TAMIL ILAKKIYA VARALAARU - II
UBT,THEORY,23U2LU2,NAZM AUR GHAZAL
UBT,THEORY,23UCN2LE2,ENGLISH FOR COMMUNICATION - II
UBT,THEORY,23UBT2CC3,CELL BIOLOGY
UBT,PRACTICAL,23UBT2CC4P,CELL BIOLOGY - PRACTICAL
UBT,THEORY,23UBT2AC3,BIOCHEMISTRY II: BIOENERGETICS AND METABOLISM
UBT,PRACTICAL,23UBT2AC4P,BIOCHEMISTRY II: BIOENERGETICS AND METABOLISM - PRACTICAL
UCA,THEORY,23U2LA2,GRAMMAR & TRANSLATION
UCA,THEORY,23U2LF2,GENERAL LANGUAGE FRENCH - II
UCA,THEORY,23U2LH2,"SAMANYA HINDI - II, NOVEL AND GRAMMAR - II"
UCA,THEORY,23U2LT2,TAMIL ILAKKIYA VARALAARU - II
UCA,THEORY,23U2LU2,NAZM AUR GHAZAL
UCA,THEORY,23UCN2LE2,ENGLISH FOR COMMUNICATION - II
UCA,THEORY,23UCA2CC3,PROGRAMMING IN JAVA
UCA,PRACTICAL,23UCA2CC4P,PROGRAMMING IN JAVA LAB - PRACTICAL
UCA,THEORY,23UCA2AC3,OPERATIONS RESEARCH
UCA,THEORY,23UCA2AC4,GAME THEORY AND ITS APPLICATIONS
UCH,THEORY,23U2LA2,GRAMMAR & TRANSLATION
UCH,THEORY,23U2LF2,GENERAL LANGUAGE FRENCH - II
UCH,THEORY,23U2LH2,"SAMANYA HINDI - II, NOVEL AND GRAMMAR - II"
UCH,THEORY,23U2LT2,TAMIL ILAKKIYA VARALAARU - II
UCH,THEORY,23U2LU2,NAZM AUR GHAZAL
UCH,THEORY,23UCN2LE2,ENGLISH FOR COMMUNICATION - II
UCH,THEORY,23UCH2CC3,"INORGANIC, ORGANIC AND PHYSICAL CHEMISTRY - II"
UCH,PRACTICAL,23UCH2CC4P,INDUSTRIAL CHEMISTRY - PRACTICAL
UCH,THEORY,23UPH2AC3,ESSENTIALS OF PHYSICS
UCH,PRACTICAL,23UPH2AC4P,"OPTICAL, THERMAL AND ELECTRICITY - PRACTICAL"
UCO,THEORY,23U2LA2,GRAMMAR & TRANSLATION
UCO,THEORY,23U2LF2,GENERAL LANGUAGE FRENCH - II
UCO,THEORY,23U2LH2,"SAMANYA HINDI - II, NOVEL AND GRAMMAR - II"
UCO,THEORY,23U2LT2,TAMIL ILAKKIYA VARALAARU - II
UCO,THEORY,23U2LU2,NAZM AUR GHAZAL
UCO,THEORY,23UCN2LE2,ENGLISH FOR COMMUNICATION - II
UCO,THEORY,23UCO2CC3,BUSINESS ACCOUNTING
UCO,THEORY,23UCO2CC4,LEGAL ASPECTS OF BUSINESS & ETHICS
UCO,THEORY,23UCO2AC3,BUSINESS STATISTICS WITH R
UCO,THEORY,23UCO2AC4,BUSINESS ENVIRONMENT
UCS,THEORY,23U2LA2,GRAMMAR & TRANSLATION
UCS,THEORY,23U2LF2,GENERAL LANGUAGE FRENCH - II
UCS,THEORY,23U2LH2,"SAMANYA HINDI - II, NOVEL AND GRAMMAR - II"
UCS,THEORY,23U2LT2,TAMIL ILAKKIYA VARALAARU - II
UCS,THEORY,23U2LU2,NAZM AUR GHAZAL
UCS,THEORY,23UCN2LE2,ENGLISH FOR COMMUNICATION - II
UCS,THEORY,23UCS2CC3T,JAVA PROGRAMMING
UCS,PRACTICAL,23UCS2CC3P,JAVA PROGRAMMING LAB - PRACTICAL
UCS,THEORY,23UCS2CC4,WEB PROGRAMMING
UCS,THEORY,23UMA2AC3,OPERATIONS RESEARCH
UCS,THEORY,23UMA2AC4,STATISTICS
UEC,THEORY,23U2LA2,GRAMMAR & TRANSLATION
UEC,THEORY,23U2LF2,GENERAL LANGUAGE FRENCH - II
UEC,THEORY,23U2LH2,"SAMANYA HINDI - II, NOVEL AND GRAMMAR - II"
UEC,THEORY,23U2LT2,TAMIL ILAKKIYA VARALAARU - II
UEC,THEORY,23U2LU2,NAZM AUR GHAZAL
UEC,THEORY,23UCN2LE2,ENGLISH FOR COMMUNICATION - II
UEC,THEORY,23UEC2CC3,INDIAN ECONOMY
UEC,THEORY,23UEC2CC4,MICRO ECONOMIC ANALYSIS - II
UEC,THEORY,23UEC2AC3,ECONOMIC STATISTICS - II
